id,title,type,description,release_year,age_certification,runtime,genres,production_countries,seasons,imdb_id,imdb_score,imdb_votes,tmdb_popularity,tmdb_score
tm359100,Friends Don't Let Friends,MOVIE,A violent breakup leaves one man dead and a group of friends dispatched into the desert to dispose of the evidence. Friendships are tested as the group push the boundaries of what can be done in the name of being there for a friend.,2017,,82,"['thriller', 'horror']",['US'],,tt3561204,3.0,204.0,0.6,3.2
tm583346,Sasq-Watch!,MOVIE,"Uber geeks Nigel and Oscar want nothing more than to capture definitive evidence of a Sasquatch. When their guide bails on them, they must resort to using a mis-matched group of outdoor enthusiasts. Meanwhile, their rival Claus, also on the hunt for the ""Squatch"", races to beat them to the prize in this documentary style comedy.",2017,,84,['comedy'],['US'],,tt3576858,6.0,101.0,0.6,4.3
tm528241,Through the Fire: The Legacy of Barack Obama,MOVIE,Exploring the historic election of America's first African-American president and his two term in office.,2017,,70,['documentation'],['US'],,tt6521796,6.0,16.0,,
tm483925,Diana: The Day We Said Goodbye,MOVIE,Reliving the day of Princess Diana's funeral through the eyes of the many who were there.,2017,,46,['documentation'],[],,tt9778256,8.0,5.0,,
tm589644,The Musician,MOVIE,"David Wilde is a concert violist on the brink of worldwide success. Obsessed with his career and music, he has ignored all parts of life from family to friends. But when he has a stroke, and as a result loses the ability to play the viola he is forced to find out who he truly is apart from music. He must face the parts of his life that he has ignored. Now he must make a choice between his new found relationship with his family or his old obsession with music and career.",2017,,94,['drama'],['US'],,tt3277570,6.9,16.0,,
ts227772,Side Hustle,SHOW,,2017,TV-G,22,['music'],['US'],1.0,tt11005844,,,,
tm414412,Million Dollar American Princesses: Meghan Markle,MOVIE,"How did Prince Harry and Meghan Markle meet? How is the actress changing the face of the Royal
 family? How will they change her? As another American princess enters the British aristocracy,
 compare Meghan’s story to other actresses and heiresses who crossed the Atlantic to marry into
 European nobility, such as Grace Kelly and Rita Hayworth. It’s a modern royal fairytale that is as
 much about love as it is about the monarchy’s new attitudes on class, race, acceptability, and
 tolerance.",2018,,55,"['history', 'documentation']","['GB', 'US']",,,,,,
ts118311,Ahamed's Ramadan Diary,SHOW,Ahamed Weinberg is a Muslim man with a Jewish last name who's navigating life and love while fasting for Ramadan.,2017,,3,['comedy'],[],2.0,tt7242698,8.7,14.0,,
ts244147,Monkey Island,SHOW,TV documentary series about the toque macaque monkeys of Sri Lanka,2018,,44,['documentation'],['CA'],1.0,tt12163444,8.2,5.0,,
tm509410,Panama's Animal Highway,MOVIE,Scientists use state-of-the-art technology to battle the conservation dangers threatening the millions of animals that migrate through Panama.,2017,,60,['documentation'],['US'],,tt7735960,,,,
ts111175,Irrational Fears,SHOW,"In each of the Irrational Fears shorts, Jamie faces one of her extremely specific and highly irrational fears - only for the situation to play out in the worst way imaginable.",2018,,2,['comedy'],['US'],1.0,tt8332864,,,,
ts87480,Star Trek: Picard,SHOW,"Set twenty years after the events of Star Trek Nemesis, we follow the now-retired Admiral Picard into the next chapter of his life.",2020,TV-MA,48,"['scifi', 'action', 'drama']",['US'],3.0,tt8806524,7.3,76562.0,191.196,7.251
ts88950,Why Women Kill,SHOW,"Three women living in three different decades: a housewife in the '60s, a socialite in the '80s and a lawyer in 2018, deal with infidelity in their marriages.",2019,TV-MA,49,"['drama', 'comedy', 'crime']",['US'],2.0,tt9054904,8.3,25591.0,49.796,8.2
ts282215,FBI: Most Wanted,SHOW,"The Fugitive Task Force relentlessly tracks and captures the notorious criminals on the Bureau’s Most Wanted list. Seasoned agent Jess LaCroix oversees the highly skilled team that functions as a mobile undercover unit that is always out in the field, pursuing those who are most desperate to elude justice.",2020,TV-14,42,"['drama', 'action', 'crime', 'thriller']",['US'],4.0,tt9742936,6.9,8934.0,113.732,7.683
ts88376,Evil,SHOW,"Skeptical female clinical psychologist Kristen Bouchard joins a priest-in-training and a blue-collar contractor as they investigate supposed miracles, demonic possessions, and other extraordinary occurrences to see if there’s a scientific explanation or if something truly supernatural is at work.",2019,TV-MA,46,"['drama', 'crime', 'horror', 'thriller']",['US'],3.0,tt9055008,7.7,28349.0,55.282,7.85
ts186931,Bob Hearts Abishola,SHOW,An American guy falls in love with his Nigerian nurse.,2019,TV-PG,20,"['romance', 'comedy']",['US'],5.0,tt10329024,6.9,4596.0,26.373,8.2
ts87479,Star Trek: Lower Decks,SHOW,"The lives of the support crew serving on one of Starfleet's least important ships, the U.S.S. Cerritos, in 2380. Ensigns Mariner, Boimler, Rutherford and Tendi have to keep up with their duties and their social lives, often while the ship is being rocked by a multitude of sci-fi anomalies.",2020,TV-14,26,"['scifi', 'comedy', 'animation', 'action']",['US'],3.0,tt9184820,7.5,19424.0,40.456,7.3
ts87912,The Stand,SHOW,"In a world mostly wiped out by the plague and embroiled in an elemental struggle between good and evil, the fate of mankind rests on the frail shoulders of the 108-year-old Mother Abagail and a handful of survivors. Their worst nightmares are embodied in a man with a lethal smile and unspeakable powers: Randall Flagg, the Dark Man.",2020,,57,"['scifi', 'drama', 'horror', 'thriller', 'fantasy']",['US'],1.0,tt12068642,5.6,27507.0,30.615,7.068
tm374139,Sonic the Hedgehog,MOVIE,"Powered with incredible speed, Sonic The Hedgehog embraces his new home on Earth. That is, until Sonic sparks the attention of super-uncool evil genius Dr. Robotnik. Now it’s super-villain vs. super-sonic in an all-out race across the globe to stop Robotnik from using Sonic’s unique power for world domination.",2020,PG,100,"['comedy', 'action', 'family', 'fantasy', 'scifi', 'animation', 'crime']","['US', 'JP']",,tt3794354,6.5,143774.0,93.466,7.363
tm824211,Black Bear,MOVIE,"A filmmaker at a creative impasse seeks solace from her tumultuous past at a rural retreat, only to find that the woods summon her inner demons in intense and surprising ways.",2020,R,104,"['drama', 'comedy', 'thriller']",['US'],,tt9601220,6.5,13811.0,8.868,6.6
tm449500,The Peanut Butter Falcon,MOVIE,A down-on-his-luck crab fisherman embarks on a journey to get a young man with Down syndrome to a professional wrestling school in rural North Carolina and away from the retirement home where he’s lived for the past two and a half years.,2019,PG-13,93,"['drama', 'comedy', 'sport']",['US'],,tt4364194,7.6,92698.0,13.242,7.405
ts89628,Blood & Treasure,SHOW,An antiquities expert teams up with an art thief to catch a terrorist who funds his attacks using stolen artifacts.,2019,TV-14,46,['action'],['US'],2.0,tt7712598,6.7,6255.0,34.78,6.7
ts216539,Love Island USA,SHOW,"American version of the British dating reality competition in which ten singles come to stay in a villa for a few weeks and have to couple up with one another. Over the course of those weeks, they face the public vote and might be eliminated from the show. Other islanders join and try to break up the couples.",2019,TV-MA,49,['reality'],['US'],4.0,tt8819906,4.9,1186.0,15.755,7.2
ts252505,Are You Afraid of the Dark?,SHOW,"Each season of this horror anthology series follows a different group of kids, members of the Midnight Society, as they discover terrifying curses and creatures.",2019,TV-PG,44,"['thriller', 'family', 'drama', 'fantasy', 'horror']",['US'],3.0,tt10473306,7.1,2528.0,24.554,7.591
tm418189,The Addams Family,MOVIE,"The Addams family's lives begin to unravel when they face-off against a treacherous, greedy crafty reality-TV host while also preparing for their extended family to arrive for a major celebration.",2019,PG,86,"['comedy', 'horror', 'animation', 'family', 'fantasy']","['CA', 'US']",,tt1620981,5.8,41972.0,51.787,6.633
tm920263,Don't Click,MOVIE,"Bored of the usual porn videos, a socially awkward college student comes across something different and dangerously exciting. His new fascination with violence and sex pulls him into a surreal, inescapable world of punishment and torture.",2020,,80,['horror'],['CA'],,tt10234450,2.8,282.0,2.411,3.9
tm828258,Saint Maud,MOVIE,"Having recently found God, self-effacing young nurse Maud arrives at a plush home to care for Amanda, a hedonistic dancer left frail from a chronic illness. When a chance encounter with a former colleague throws up hints of a dark past, it becomes clear there is more to sweet Maud than meets the eye.",2020,R,83,"['drama', 'horror', 'thriller']",['GB'],,tt7557108,6.7,40179.0,13.575,6.666
ts225512,Danger Force,SHOW,Captain Man has a new crew of superhero sidekicks - Danger Force. Captain Man and Schwoz create a fake school to train the kids to harness their uncontrollable superpowers to fight crime.,2020,TV-Y7,24,"['comedy', 'family', 'scifi', 'action']",['US'],2.0,tt11833388,3.6,1661.0,34.057,8.0
tm942538,Horizon Line,MOVIE,A couple flying on a small plane to attend a tropical island wedding must fight for their lives after their pilot suffers a heart attack.,2020,PG-13,91,['thriller'],"['SE', 'GB', 'IE', 'US']",,,,,29.397,5.697
tm551264,International Falls,MOVIE,"A woman stuck in a small, snowbound border town has dreams of doing comedy when she meets a washed up, burned out comedian with dreams of doing anything else.",2019,,93,['comedy'],['US'],,tt5117326,5.8,587.0,2.617,6.5
ts66250,The Hills: New Beginnings,SHOW,"The original cast of The Hills reunite alongside their children, friends, and new faces, and follows their personal and professional lives in Los Angeles.",2019,TV-14,41,['reality'],['US'],2.0,tt8878996,5.5,674.0,4.223,8.4
ts93336,Blue's Clues & You,SHOW,"Each game of Blue's Clues involves problem-solving, viewer interaction, and of course, a stop for ""mailtime!"" In this reboot, the animated ensemble cast is back with a new host: Josh, who's just learning how to play Blue's Clues.",2019,TV-G,22,"['animation', 'comedy', 'family']",['US'],5.0,tt9000424,6.9,712.0,20.819,6.8
tm814886,Stay Out Stay Alive,MOVIE,"After an earthquake uncovers an abandoned goldmine, a hiker falls in and is trapped, forcing friends to grapple with a moral dilemma that spirals into madness.",2019,PG-13,83,"['thriller', 'drama', 'horror']",['US'],,tt5956016,4.2,1061.0,6.164,5.119
tm446614,Marianne & Leonard: Words of Love,MOVIE,"A story of enduring love between Leonard Cohen and his Norwegian muse, Marianne Ihlen. The film follows their relationship from their early days in Greece, a time of ""free love"" and open marriage, to how their love evolved when Leonard became a successful musician.",2019,R,98,"['documentation', 'music', 'romance']",['US'],,tt9358196,7.0,2097.0,3.548,6.4
